v,vw,o,c,h,l,t,n
54608.0,171.4244,171.84,171.0,171.84,170.93,1640077200000,1325
55969.0,170.9178,170.97,170.85,171.18,170.64,1640080800000,971
55717.0,171.3893,170.85,171.52,171.74,170.85,1640084400000,837
212405.0,171.8693,171.51,172.15,172.33,171.4,1640088000000,2990
676569.0,171.8199,171.5201,169.75,172.49,169.75,1640091600000,6537
12813692.0,171.0681,172.43,170.3311,172.5,170.02,1640095200000,119454
13515030.0,169.924,170.34,169.85,170.96,169.12,1640098800000,122204
10618106.0,170.5729,169.84,170.735,171.25,169.82,1640102400000,84280
8431243.0,170.9698,170.74,170.995,171.54,170.46,1640106000000,68715
7140955.0,170.9934,171.0,171.24,171.315,170.66,1640109600000,56120
10786859.0,172.1182,171.25,172.9382,173.03,171.1901,1640113200000,75568
13198900.0,172.7104,172.94,172.98,173.2,172.191,1640116800000,103084
2605331.0,172.9867,172.99,172.92,173.14,170.82,1640120400000,3740
3983980.0,172.99,172.96,173.03,173.08,172.89,1640124000000,1130
1258790.0,172.9826,172.98,172.6,172.98,172.6,1640127600000,1419
37005.0,172.6006,172.6,172.58,172.72,172.53,1640131200000,746
26973.0,172.2881,172.29,172.09,172.48,171.91,1640163600000,786
19772.0,172.2905,172.09,172.79,172.79,172.0,1640167200000,486
32308.0,172.8084,172.79,172.94,173.1,172.52,1640170800000,845
158096.0,172.8627,172.9,172.56,173.07,172.5,1640174400000,2908
387482.0,172.5588,172.56,172.8,173.0,172.22,1640178000000,4476
12129527.0,173.2219,172.8,173.72,174.04,172.15,1640181600000,112074
16289676.0,173.7696,173.73,174.48,174.525,172.89,1640185200000,125057
9737811.0,173.8743,174.47,174.12,174.4967,173.56,1640188800000,81879
7921359.0,174.3338,174.13,174.5268,174.61,174.0,1640192400000,62605
6823409.0,174.3074,174.51,174.1099,174.75,173.77,1640196000000,63385
8625961.0,174.0118,174.11,174.52,174.59,173.48,1640199600000,68814
14676198.0,175.083,174.52,175.63,175.86,174.36,1640203200000,112896
8279900.0,175.6435,175.64,175.81,175.95,175.58,1640206800000,3816
224015.0,175.6598,175.78,175.81,175.84,175.64,1640210400000,946
48909.0,175.8028,175.84,175.82,175.85,175.71,1640214000000,384
90731.0,175.7597,175.84,175.98,176.0,172.99,1640217600000,655
27659.0,175.9608,175.7,176.02,176.11,175.65,1640250000000,942
22734.0,176.1658,176.08,176.33,176.37,176.04,1640253600000,552
35317.0,176.2406,176.28,176.19,176.4,176.12,1640257200000,773
94295.0,176.1989,176.19,176.24,176.3,176.1,1640260800000,1667
708577.0,175.9394,176.19,175.94,176.35,175.7,1640264400000,5030
11032475.0,175.7804,175.92,175.89,176.28,175.27,1640268000000,102638
10464050.0,176.2059,175.8884,176.47,176.54,175.75,1640271600000,90246
7528129.0,176.0979,176.48,176.18,176.51,175.67,1640275200000,61997
7186301.0,176.0666,176.18,176.255,176.31,175.795,1640278800000,48143
4042758.0,176.1488,176.26,175.99,176.34,175.99,1640282400000,36961
6680182.0,176.1507,175.99,176.49,176.6414,175.76,1640286000000,53943
12253363.0,176.4237,176.5,176.29,176.8499,175.97,1640289600000,92799
2351644.0,176.3204,176.28,176.02,176.28,175.77,1640293200000,2960
1205965.0,176.2694,176.02,175.99,176.02,175.9,1640296800000,945
43125.0,176.0059,175.98,176.02,176.06,175.95,1640300400000,353
99370.0,176.1264,176.03,176.32,176.5,175.85,1640304000000,613
